,date,open,close,high,low,volume,money
174,2021-09-16,3841.01,3780.44,3854.72,3780.06,54615701900.0,673528130831.0
175,2021-09-17,3768.04,3787.7,3794.98,3740.84,51631202300.0,628438092892.0
176,2021-09-22,3734.43,3802.89,3803.9,3731.59,47180514000.0,559576779893.0
177,2021-09-23,3826.76,3817.24,3847.39,3806.82,53445350900.0,632898721041.0
178,2021-09-24,3812.68,3786.72,3826.96,3781.18,50677402300.0,606448978429.0
179,2021-09-27,3800.25,3755.06,3815.82,3731.02,51014983100.0,640207195626.0
180,2021-09-28,3749.87,3775.33,3784.47,3740.34,44373140900.0,499788696001.0
181,2021-09-29,3745.22,3706.18,3745.22,3687.08,45211390500.0,510830812604.0
182,2021-09-30,3712.1,3739.57,3744.05,3712.1,39532376100.0,445495895684.0
183,2021-10-08,3782.52,3764.7,3786.14,3743.26,40673528700.0,492598178222.0
184,2021-10-11,3773.29,3764.18,3788.34,3758.98,39389406800.0,468216781818.0
185,2021-10-12,3753.25,3717.2,3755.7,3683.87,40494922800.0,461584892957.0
186,2021-10-13,3713.6,3732.79,3740.52,3684.44,32466646400.0,404705470404.0
187,2021-10-14,3725.81,3729.14,3741.13,3717.51,29470690100.0,377266837600.0
188,2021-10-15,3722.54,3743.92,3750.64,3712.78,32000046100.0,425635029500.0
189,2021-10-18,3742.54,3739.46,3742.54,3709.39,34056584300.0,455472048800.0
190,2021-10-19,3733.32,3765.7,3769.52,3731.56,33386492200.0,439945811800.0
191,2021-10-20,3755.36,3759.32,3768.79,3746.0,34360753600.0,450082856000.0
192,2021-10-21,3762.52,3767.46,3784.43,3748.11,35200275500.0,453362151745.0
193,2021-10-22,3767.43,3754.72,3780.91,3750.67,35284853400.0,455232216483.0
194,2021-10-25,3745.97,3783.31,3784.6,3735.42,32090449600.0,443666204259.0
195,2021-10-26,3786.43,3770.47,3799.21,3762.15,33697835100.0,464861504575.0
196,2021-10-27,3762.31,3733.4,3762.31,3723.77,35021950300.0,470464094795.0
197,2021-10-28,3719.16,3687.49,3722.67,3678.12,37745443100.0,502544890377.0
198,2021-10-29,3688.39,3717.82,3717.82,3671.09,35844548900.0,526979162703.0
199,2021-11-01,3700.08,3714.82,3727.53,3688.39,38185677800.0,563821154977.0
200,2021-11-02,3713.68,3673.95,3730.12,3644.62,41709499600.0,585186922877.0
201,2021-11-03,3669.16,3666.51,3681.28,3647.57,30630430800.0,448849208106.0
202,2021-11-04,3674.17,3696.23,3697.38,3671.18,31908421800.0,468570077229.0
203,2021-11-05,3689.22,3659.34,3695.31,3659.23,35397036200.0,485445504504.0
204,2021-11-08,3659.77,3666.72,3675.8,3651.66,29788157200.0,421746600303.0
205,2021-11-09,3675.63,3675.52,3683.85,3656.64,28704509300.0,420984879621.0
206,2021-11-10,3667.04,3660.26,3667.04,3614.06,30669786700.0,442826264353.0
207,2021-11-11,3653.95,3702.52,3704.02,3650.11,32173518600.0,464450867051.0
208,2021-11-12,3703.95,3709.05,3713.8,3696.72,30837579500.0,442970815391.0
209,2021-11-15,3713.24,3702.98,3721.2,3690.39,31276895200.0,463765671017.0
210,2021-11-16,3700.05,3690.92,3720.32,3686.78,31011677100.0,444426299222.0
211,2021-11-17,3687.55,3707.26,3707.42,3682.26,27639451800.0,401225266170.0
212,2021-11-18,3701.08,3689.78,3707.9,3681.78,31214666900.0,432627691778.0
213,2021-11-19,3688.28,3731.5,3733.13,3686.59,31771202500.0,440271834387.0
214,2021-11-22,3733.98,3754.29,3757.48,3733.96,32956615600.0,508606830521.0
215,2021-11-23,3752.64,3761.62,3771.36,3749.33,35965105500.0,507733883808.0
216,2021-11-24,3762.59,3765.41,3775.96,3747.14,33654016700.0,480757418104.0
217,2021-11-25,3766.14,3756.4,3770.05,3751.56,30616922600.0,450146550776.0
218,2021-11-26,3747.95,3735.32,3747.95,3725.66,30065625800.0,434205936521.0
219,2021-11-29,3698.17,3733.96,3734.97,3695.75,33332341700.0,489698896163.0
220,2021-11-30,3742.42,3735.22,3754.32,3716.78,34836181800.0,492192384448.0
221,2021-12-01,3733.1,3748.88,3748.88,3729.75,32949591400.0,467119240156.0
222,2021-12-02,3745.08,3745.77,3759.41,3738.72,35372399200.0,468062534202.0
223,2021-12-03,3748.52,3780.96,3782.07,3745.11,37715478800.0,493206841945.0
224,2021-12-06,3789.14,3762.1,3800.7,3759.49,41824467100.0,527839063807.0
225,2021-12-07,3785.07,3768.13,3788.21,3744.5,40354398000.0,523903378743.0
226,2021-12-08,3776.27,3812.71,3812.87,3764.86,36076715700.0,485762206350.0
227,2021-12-09,3816.48,3849.93,3866.09,3813.91,43162689600.0,568135043003.0
228,2021-12-10,3830.31,3842.97,3844.54,3827.13,41963707600.0,556002403870.0
229,2021-12-13,3864.59,3858.42,3887.7,3855.24,42369916200.0,573920098317.0
